Time (s),x (m),y (m),latitude,longitude,status,timestamp,Speed,Course,Date,ModeRMC,NAVStatus,NSIndicator,EWIndicator,MagneticVariation,MagneticVariationEW,StrMotorSwitch
3.819075107574463,0.1386860666098073,-0.12972741480916739,57.68804050000001,11.978945666666668,A,173508.50,0.043,,040722,A,V,N,E,,,1
3.916267156600952,0.1386860666098073,-0.11119492817670107,57.688040666666666,11.978945666666668,A,173508.60,0.054,,040722,A,V,N,E,,,1
4.015780210494995,0.1386860666098073,-0.11119492817670107,57.688040666666666,11.978945666666668,A,173508.70,0.023,,040722,A,V,N,E,,,1
4.115784168243408,0.1386860666098073,-0.09266244154423475,57.688040833333325,11.978945666666668,A,173508.80,0.030,,040722,A,V,N,E,,,1
4.220249176025391,0.14859221421647817,-0.11119492817670107,57.688040666666666,11.978945833333334,A,173508.90,0.051,,040722,A,V,N,E,,,1
4.321392059326172,0.14859221421647817,-0.11119492817670107,57.688040666666666,11.978945833333334,A,173509.00,0.024,,040722,A,V,N,E,,,1
4.419775009155273,0.15849836182314903,-0.11119492817670107,57.688040666666666,11.978946,A,173509.10,0.040,,040722,A,V,N,E,,,1
4.522661209106445,0.15849836182314903,-0.11119492817670107,57.688040666666666,11.978946,A,173509.20,0.048,,040722,A,V,N,E,,,1
4.616116046905518,0.16840450942981988,-0.11119492817670107,57.688040666666666,11.978946166666667,A,173509.30,0.025,,040722,A,V,N,E,,,1
4.716140031814575,0.17831065703649074,-0.12972741480916739,57.68804050000001,11.978946333333333,A,173509.40,0.026,,040722,A,V,N,E,,,1
4.816579103469849,0.17831065703649074,-0.12972741480916739,57.68804050000001,11.978946333333333,A,173509.50,0.026,,040722,A,V,N,E,,,1
4.918956995010376,0.1882168046431616,-0.12972741480916739,57.68804050000001,11.9789465,A,173509.60,0.057,,040722,A,V,N,E,,,1
5.019032001495361,0.1882168046431616,-0.12972741480916739,57.68804050000001,11.9789465,A,173509.70,0.052,,040722,A,V,N,E,,,1
5.119206190109253,0.19812295213341713,-0.12972741480916739,57.68804050000001,11.978946666666666,A,173509.80,0.038,,040722,A,V,N,E,,,1
5.216452121734619,0.19812295213341713,-0.12972741480916739,57.68804050000001,11.978946666666666,A,173509.90,0.042,,040722,A,V,N,E,,,1
5.319191217422485,0.19812295213341713,-0.12972741480916739,57.68804050000001,11.978946666666666,A,173510.00,0.006,,040722,A,V,N,E,,,1
5.41763710975647,0.19812295213341713,-0.11119492817670107,57.688040666666666,11.978946666666666,A,173510.10,0.028,,040722,A,V,N,E,,,1
5.518614053726196,0.19812295213341713,-0.11119492817670107,57.688040666666666,11.978946666666666,A,173510.20,0.030,,040722,A,V,N,E,,,1
5.621586084365845,0.19812295213341713,-0.11119492817670107,57.688040666666666,11.978946666666666,A,173510.30,0.013,,040722,A,V,N,E,,,1
5.7191550731658936,0.1882168046431616,-0.09266244154423475,57.688040833333325,11.9789465,A,173510.40,0.011,,040722,A,V,N,E,,,1
5.8209311962127686,0.19812295213341713,-0.11119492817670107,57.688040666666666,11.978946666666666,A,173510.50,0.028,,040722,A,V,N,E,,,1
5.91622519493103,0.19812295213341713,-0.11119492817670107,57.688040666666666,11.978946666666666,A,173510.60,0.049,,040722,A,V,N,E,,,1
6.022963047027588,0.2080290998565033,-0.11119492817670107,57.688040666666666,11.978946833333335,A,173510.70,0.053,,040722,A,V,N,E,,,1
6.116356134414673,0.2080290998565033,-0.11119492817670107,57.688040666666666,11.978946833333335,A,173510.80,0.011,,040722,A,V,N,E,,,1
6.218968152999878,0.21793524757958949,-0.11119492817670107,57.688040666666666,11.978947000000002,A,173510.90,0.009,,040722,A,V,N,E,,,1
6.319792032241821,0.21793524757958949,-0.11119492817670107,57.688040666666666,11.978947000000002,A,173511.00,0.026,,040722,A,V,N,E,,,1
6.419064998626709,0.21793524757958949,-0.11119492817670107,57.688040666666666,11.978947000000002,A,173511.10,0.065,,040722,A,V,N,E,,,1
6.5164899826049805,0.22784139506984502,-0.11119492817670107,57.688040666666666,11.978947166666668,A,173511.20,0.053,,040722,A,V,N,E,,,1
6.618642091751099,0.22784139506984502,-0.11119492817670107,57.688040666666666,11.978947166666668,A,173511.30,0.013,,040722,A,V,N,E,,,1
6.723046064376831,0.22784139506984502,-0.11119492817670107,57.688040666666666,11.978947166666668,A,173511.40,0.030,,040722,A,V,N,E,,,1
6.822225093841553,0.22784139506984502,-0.11119492817670107,57.688040666666666,11.978947166666668,A,173511.50,0.015,,040722,A,V,N,E,,,1
6.921396017074585,0.22784139506984502,-0.11119492817670107,57.688040666666666,11.978947166666668,A,173511.60,0.011,,040722,A,V,N,E,,,1
7.022655010223389,0.23774754267651588,-0.11119492817670107,57.688040666666666,11.978947333333334,A,173511.70,0.054,,040722,A,V,N,E,,,1
7.119129180908203,0.22784139506984502,-0.09266244154423475,57.688040833333325,11.978947166666668,A,173511.80,0.026,,040722,A,V,N,E,,,1
7.218396186828613,0.22784139506984502,-0.09266244154423475,57.688040833333325,11.978947166666668,A,173511.90,0.017,,040722,A,V,N,E,,,1
7.322296142578125,0.21793524757958949,-0.07412995118647814,57.688041000000005,11.978947000000002,A,173512.00,0.015,,040722,A,V,N,E,,,1
7.423673152923584,0.21793524757958949,-0.07412995118647814,57.688041000000005,11.978947000000002,A,173512.10,0.004,,040722,A,V,N,E,,,1
7.520346164703369,0.21793524757958949,-0.07412995118647814,57.688041000000005,11.978947000000002,A,173512.20,0.049,,040722,A,V,N,E,,,1
