Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:56:53.731339,0.48765,0.00629,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00119,-0.00356,0.00000,-0.00324,-0.00149,-0.00427,-0.07692,0.98606,0.47854,0.16117
08:56:53.741948,0.49828,0.00655,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00210,-0.00631,0.00000,0.00073,-0.00195,-0.00360,-0.07399,0.98582,0.48912,0.15629
08:56:53.752275,0.50860,0.00651,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00141,0.00423,0.00000,-0.00004,-0.00134,-0.00354,-0.07454,0.98472,0.49947,0.16361
08:56:53.763230,0.51954,0.00721,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00226,-0.00677,0.00000,0.00058,-0.00225,-0.00329,-0.07601,0.98454,0.51039,0.17338
08:56:53.772962,0.52927,0.00674,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00294,0.00881,0.00000,-0.00004,-0.00149,-0.00512,-0.07796,0.98643,0.52009,0.16606
08:56:53.782100,0.53844,0.00567,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00569,0.01706,0.00000,0.00180,-0.00042,-0.00329,-0.07594,0.98454,0.52998,0.16117
08:56:53.793438,0.54977,0.00665,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00156,0.00469,0.00000,0.00363,-0.00240,-0.00122,-0.07497,0.98430,0.54051,0.17338
08:56:53.804563,0.56003,0.00627,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00172,0.00515,0.00000,0.00027,0.00080,-0.00427,-0.07558,0.98460,0.55151,0.17582
08:56:53.814248,0.57059,0.00574,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00110,0.00331,0.00000,0.00119,-0.00149,-0.00378,-0.07472,0.98381,0.56215,0.15629
08:56:53.826310,0.58262,0.00741,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00080,0.00240,0.00000,-0.00233,-0.00057,-0.00360,-0.07588,0.98362,0.57351,0.18071
08:56:53.836840,0.59316,0.00759,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00217,0.00652,0.00000,0.00348,-0.00256,-0.00329,-0.07619,0.98466,0.58375,0.16361
08:56:53.846147,0.60247,0.00654,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00027,-0.00081,0.00000,0.00012,-0.00149,-0.00220,-0.07515,0.98472,0.59333,0.15629
08:56:53.855591,0.61193,0.00564,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00691,0.02072,0.00000,0.00088,-0.00195,-0.00305,-0.07619,0.98448,0.60367,0.17827
08:56:53.866797,0.62312,0.00646,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00424,-0.01272,0.00000,0.00012,-0.00179,-0.00390,-0.07631,0.98436,0.61399,0.16850
08:56:53.877202,0.63353,0.00652,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00073,-0.00218,0.00000,0.00058,-0.00072,-0.00281,-0.07582,0.98460,0.62441,0.15873
08:56:53.886513,0.64285,0.00564,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00088,-0.00264,0.00000,0.00317,-0.00256,-0.00433,-0.07277,0.98399,0.63443,0.16117
08:56:53.899376,0.65503,0.00756,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00217,0.00652,0.00000,0.00119,-0.00088,-0.00372,-0.07601,0.98631,0.64606,0.16606
08:56:53.908081,0.66352,0.00590,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00088,-0.00264,0.00000,0.00256,0.00034,-0.00342,-0.07540,0.98179,0.65483,0.17582
08:56:53.917977,0.67432,0.00607,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,-0.00019,-0.00118,-0.00360,-0.07479,0.98576,0.66587,0.16117
08:56:53.928790,0.68511,0.00650,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00042,-0.00127,0.00000,0.00317,-0.00027,-0.00183,-0.07357,0.98442,0.67596,0.17338
08:56:53.938837,0.69516,0.00636,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,0.00134,0.00004,-0.00311,-0.07777,0.98442,0.68602,0.17338
